,emp_title,experience_years,state,homeownership,annual_income,verified_income,debt_to_income,delinq_2y,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,total_collection_amount_ever,num_open_cc_accounts,num_cc_carrying_balance,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,has_delinquency,has_balance,has_tax_lien
1,warehouse office clerk,10.0,HI,RENT,40000.0,Not Verified,5.04,0,1996,1,30,14,28800,4321,0,0,14,4,0,1,debt_consolidation,individual,5000,36,12.61,167.54,C,C1,Feb-2018,Current,whole,Cash,4651.37,No Delinquencies,True,0
2,assembly,3.0,WI,RENT,40000.0,Source Verified,21.15,0,2006,4,31,10,24193,16000,0,432,8,6,0,0,other,individual,2000,36,17.09,71.4,D,D1,Feb-2018,Current,fractional,Cash,1824.63,No Delinquencies,True,0
3,customer service,1.0,PA,RENT,30000.0,Not Verified,10.16,0,2007,0,4,4,25400,4997,0,0,3,2,1,0,debt_consolidation,individual,21600,36,6.72,664.19,A,A3,Jan-2018,Current,whole,Cash,18853.26,No Delinquencies,True,1
6,hr ,10.0,MI,MORTGAGE,35000.0,Source Verified,23.66,0,2004,1,12,10,291852,18916,0,0,7,6,0,0,credit_card,joint,24000,60,13.59,553.35,C,C2,Jan-2018,Current,whole,Cash,22560.0,No Delinquencies,True,0
7,police,10.0,AZ,MORTGAGE,110000.0,Source Verified,16.19,1,2005,1,30,15,342336,60805,0,0,12,10,0,0,debt_consolidation,individual,20000,60,11.99,444.79,B,B5,Jan-2018,Current,whole,Cash,19005.39,Has Delinquencies,True,0
9,4th person,3.0,IL,RENT,30000.0,Not Verified,18.91,0,2001,0,9,6,33114,17768,0,0,5,3,0,0,credit_card,individual,6400,36,6.71,196.77,A,A3,Mar-2018,Current,fractional,Cash,6077.13,No Delinquencies,True,0
10,supervisor,10.0,IL,MORTGAGE,75000.0,Verified,10.45,0,1996,4,22,10,39433,22895,0,0,8,5,0,1,debt_consolidation,individual,25000,60,15.04,595.28,C,C4,Mar-2018,Current,whole,Cash,24143.51,No Delinquencies,True,0
11,register nurse,2.0,FL,MORTGAGE,91900.0,Source Verified,1.82,0,2000,4,26,10,450371,55939,0,0,8,3,0,0,other,individual,40000,60,9.92,848.31,B,B2,Mar-2018,Current,whole,Cash,38434.2,No Delinquencies,True,0
14,manager,6.0,FL,MORTGAGE,17000.0,Verified,33.98,1,2006,0,22,10,74042,26483,0,0,7,2,0,1,debt_consolidation,individual,3000,36,19.03,110.02,D,D3,Jan-2018,Current,whole,Cash,2744.21,Has Delinquencies,True,0
15,dental hygienist,10.0,TN,MORTGAGE,60000.0,Not Verified,38.46,0,1995,0,21,11,136815,75552,0,0,8,3,0,0,credit_card,individual,20000,60,19.03,519.15,D,D3,Feb-2018,Current,whole,Cash,19172.64,No Delinquencies,True,0
16,manager,6.0,NV,MORTGAGE,60000.0,Not Verified,31.22,0,2003,4,21,9,375092,93016,0,0,5,3,0,0,credit_card,individual,12000,60,19.03,311.49,D,D3,Jan-2018,Current,whole,Cash,11374.52,No Delinquencies,True,0
18,operational risk manager,10.0,IL,MORTGAGE,210000.0,Verified,9.53,0,2003,2,18,7,322046,73705,0,0,2,2,0,0,medical,individual,5000,36,26.77,203.51,E,E5,Feb-2018,Fully Paid,fractional,Cash,0.0,No Delinquencies,True,0
19,welder,1.0,CA,MORTGAGE,83000.0,Source Verified,18.44,3,2005,1,11,6,555154,39482,0,0,4,3,0,0,debt_consolidation,individual,20000,60,15.05,476.33,C,C4,Jan-2018,Fully Paid,whole,Cash,0.0,Has Delinquencies,True,0
20,maintenance adm assistant,10.0,KY,MORTGAGE,50000.0,Not Verified,15.6,0,2003,0,13,9,70313,18128,0,0,6,4,0,0,credit_card,individual,7000,36,6.08,213.21,A,A2,Jan-2018,Current,fractional,Cash,6102.23,No Delinquencies,True,0
21,warranty administrator,1.0,NV,MORTGAGE,42000.0,Source Verified,32.0,0,1991,4,19,9,272403,47575,0,0,5,5,0,1,credit_card,joint,10000,36,11.98,332.05,B,B5,Mar-2018,Current,whole,Cash,9296.37,No Delinquencies,True,0
23,manager,6.0,TX,MORTGAGE,40280.0,Verified,7.27,0,1997,1,10,4,188450,6103,0,0,2,1,0,0,home_improvement,individual,3500,36,6.71,107.61,A,A3,Mar-2018,Current,whole,Cash,3323.42,No Delinquencies,True,0
24,program analyst ,10.0,VA,RENT,82000.0,Not Verified,17.31,0,1999,1,26,7,65425,69177,0,0,5,5,0,0,credit_card,individual,8000,36,7.96,250.55,A,A5,Mar-2018,Current,fractional,Cash,7403.61,No Delinquencies,True,0
25,surveyor/cadd tech,7.0,PA,MORTGAGE,55000.0,Source Verified,14.42,0,2009,0,20,14,197985,17296,0,142,12,8,0,0,debt_consolidation,individual,18000,60,12.61,405.98,C,C1,Feb-2018,Current,whole,Cash,17342.65,No Delinquencies,True,0
27,inventory control specialist,5.0,IL,RENT,33000.0,Not Verified,19.38,0,2013,0,9,8,43876,22920,0,0,3,3,0,0,debt_consolidation,individual,3200,36,7.34,99.31,A,A4,Feb-2018,Current,whole,Cash,2557.44,No Delinquencies,True,0
28,inventory control,3.0,GA,RENT,60000.0,Not Verified,11.0,0,1998,0,13,9,56000,14338,0,0,7,2,0,0,debt_consolidation,individual,10000,36,5.32,301.15,A,A1,Jan-2018,Current,whole,Cash,8704.48,No Delinquencies,True,0
29,sr direct supoort professional,4.0,MO,MORTGAGE,48000.0,Source Verified,2.88,0,2002,2,26,9,147217,2489,0,0,6,1,0,0,house,individual,6000,36,6.07,182.73,A,A2,Mar-2018,Current,whole,Cash,5540.54,No Delinquencies,True,0
31,hospitalist,3.0,TX,MORTGAGE,245000.0,Source Verified,24.9,0,2002,1,37,20,772243,497876,0,0,6,2,0,0,debt_consolidation,individual,40000,60,9.44,838.91,B,B1,Feb-2018,Current,whole,Cash,37878.15,No Delinquencies,True,0
